Timestamp,Buffer._avg (B),Cache._avg (B),Share._avg (B),Swap._avg (B),Total._avg (B),Use._avg (B)
1634565330,2252800,4121787050.666667,0,0,23522713600,17650025130.666668
1634565360,2252800,4122863616,0,0,23522713600,17652939434.666668
1634565390,2252800,4123967488,0,0,23522713600,17649532245.333336
1634565420,2252800,4126549333.3333335,0,0,23522713600,17653997568
1634565450,2252800,4126549333.3333335,0,0,23522713600,17653997568
1634565480,2252800,4127645696,0,0,23522713600,17653770922.666668
1634565510,2252800,4128290816,0,0,23522713600,17654450858.666668
1634565540,2252800,4130300586.6666665,0,0,23522713600,17656449024
1634565570,2252800,4130300586.6666665,0,0,23522713600,17656449024
1634565600,2252800,4131743061.3333335,0,0,23522713600,17658457429.333332
1634565630,2252800,4132184746.6666665,0,0,23522713600,17657614336
1634565660,2252800,4067639978.666667,0,0,23522713600,17677919573.333336
1634565690,2252800,4067639978.666667,0,0,23522713600,17677919573.333336
1634565720,2252800,4069465429.333333,0,0,23522713600,17671257429.333336
1634565750,2252800,4070426624,0,0,23522713600,17676792490.666668
1634565780,2252800,4072914944,0,0,23522713600,17679049386.666664
1634565810,2252800,4072914944,0,0,23522713600,17679049386.666664
1634565840,2252800,4073971029.333333,0,0,23522713600,17688977408
1634565870,2252800,4074433194.666667,0,0,23522713600,17702518784
1634565900,2252800,4076978858.666667,0,0,23522713600,17731765589.333336
1634565930,2252800,4076978858.666667,0,0,23522713600,17731765589.333336
1634565960,2252800,4078166016,0,0,23522713600,17777719296
1634565990,2252800,4079237802.666667,0,0,23522713600,17776199680
1634566020,2252800,4082007381.3333335,0,0,23522713600,17783998464
1634566050,2252800,4082007381.3333335,0,0,23522713600,17783998464
1634566080,2252800,4083097600,0,0,23522713600,17799874560
1634566110,2252800,4083988480,0,0,23522713600,17799353002.666668
1634566140,0,0,0,0,0,0
1634566170,0,0,0,0,0,0
1634566200,0,0,0,0,0,0
1634566230,0,0,0,0,0,0
1634566260,0,0,0,0,0,0
1634566290,0,0,0,0,0,0
1634566320,0,0,0,0,0,0
