Timestamp,Buffer._avg (B),Cache._avg (B),Share._avg (B),Swap._avg (B),Total._avg (B),Use._avg (B),Available_avg(B)
1634565570,2252800,4130300587,0,0,23522713600,17656449024,5866264576
1634565600,2252800,4131743061,0,0,23522713600,17658457429,5864256171
1634565630,2252800,4132184747,0,0,23522713600,17657614336,5865099264
1634565660,2252800,4067639979,0,0,23522713600,17677919573,5844794027
1634565690,2252800,4067639979,0,0,23522713600,17677919573,5844794027
1634565720,2252800,4069465429,0,0,23522713600,17671257429,5851456171
1634565750,2252800,4070426624,0,0,23522713600,17676792491,5845921109
1634565780,2252800,4072914944,0,0,23522713600,17679049387,5843664213
1634565810,2252800,4072914944,0,0,23522713600,17679049387,5843664213
1634565840,2252800,4073971029,0,0,23522713600,17688977408,5833736192
1634565870,2252800,4074433195,0,0,23522713600,17702518784,5820194816
1634565900,2252800,4076978859,0,0,23522713600,17731765589,5790948011
1634565930,2252800,4076978859,0,0,23522713600,17731765589,5790948011
1634565960,2252800,4078166016,0,0,23522713600,17777719296,5744994304
1634565990,2252800,4079237803,0,0,23522713600,17776199680,5746513920
1634566020,2252800,4082007381,0,0,23522713600,17783998464,5738715136
1634566050,2252800,4082007381,0,0,23522713600,17783998464,5738715136
1634566080,2252800,4083097600,0,0,23522713600,17799874560,5722839040
1634566110,2252800,4083988480,0,0,23522713600,17799353003,5723360597
1634566140,0,0,0,0,0,0,0
1634566170,0,0,0,0,0,0,0
1634566200,0,0,0,0,0,0,0
1634566230,0,0,0,0,0,0,0
1634566260,0,0,0,0,0,0,0
1634566290,0,0,0,0,0,0,0
1634566320,0,0,0,0,0,0,0
